,,,,,,,,,,,,,,,,,Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FitbitApi20.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FitbitApi20.getAccessTokenExtractor(),0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Method,com.github.scribejava.apis.FitbitApi20.getAuthorizationBaseUrl(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.FitbitApi20.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.FlickrApi.FlickrApi(),0,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.FlickrApi.FlickrApi(FlickrPerm),2,3,0,3,1,1,0,4,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FlickrApi.FlickrPerm.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FlickrApi.FlickrPerm.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FlickrApi.getAccessTokenEndpoint(),0,6,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FlickrApi.getAuthorizationBaseUrl(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,2,2,2,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.FlickrApi.getRequestTokenEndpoint(),0,6,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.33
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.FlickrApi.instance(),2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Static Method,com.github.scribejava.apis.FlickrApi.instance(FlickrPerm),2,3,0,3,1,1,0,3,1,0,1,2,1,1,2,2,2,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Protected Constructor,com.github.scribejava.apis.Foursquare2Api.Foursquare2Api(),0,2,0,2,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.00
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.Foursquare2Api.getAccessTokenEndpoint(),0,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.33
,,,,,,,,,,,,,,,,,Public Method,com.github.scribejava.apis.Foursquare2Api.getAccessTokenVerb(),1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
