Kind,Name,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxEssentialKnots,MaxNesting,MinEssentialKnots,RatioCommentToCode
Method,"com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.toManyArgs(int,int,int,int,int,int,int,int,int)",0,7,0,4,2,0,3,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.75
Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.veryLong(),0,21,0,3,1,0,18,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,6.00
Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputLineLength.violateColumnAfterTabs(),0,12,0,9,7,6,3,0,1,0,6,7,7,0,1,1,1,1,0,0,0,0,0.33
Public Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputNoLineWrapBad.fooMethod(),0,4,0,4,3,1,0,0,1,0,1,2,2,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.InputNoLineWrapGood.fooMethod(),0,3,0,2,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.50
Protected Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.NoLineWrapTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.NoLineWrapTest.goodLineLength(),0,13,2,11,9,7,0,5,1,0,6,7,6,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.NoLineWrapTest.testBadLineWrap(),0,13,2,11,9,7,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule332nolinewrap.NoLineWrapTest.testGoodLineWrap(),1,9,2,7,5,5,0,4,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testCustomImport1(),4,22,2,20,15,16,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testCustomImport2(),3,27,2,25,14,21,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testCustomImport3(),6,27,2,25,15,21,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testCustomImport4(),2,16,2,14,9,10,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testCustomImport5(),3,20,2,18,11,14,0,5,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testValid(),1,9,2,7,5,5,0,4,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testValid2(),1,9,2,7,5,5,0,4,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule333orderingandspacing.CustomImportOrderTest.testValidGoogleStyleOrderOfImports(),1,9,2,7,5,5,0,4,1,0,5,6,5,1,1,1,1,1,0,0,0,0,0.00
Public Generic Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.AnotherClass.clone(T),0,9,0,3,1,1,6,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,2.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.FooEnum.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.FooEnum.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InnerClone.clone(),0,11,0,11,3,2,0,1,1,0,2,5,3,2,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InnerClone.clone.Inner.clone(),0,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassBad2.valueOf(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassBad2.values(),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.00
Public Constructor,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassBasic.InputOneTopLevelClassBasic(),0,5,0,5,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassBasic.clone(),0,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassBasic.method(),0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Constructor,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassGood.InputOneTopLevelClassGood(),0,5,0,5,1,2,0,3,1,0,2,3,1,2,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassGood.clone(),0,4,0,4,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.InputOneTopLevelClassGood.method(),0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Static Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.MyClassWithGenericSuperMethod.clone(Object),0,8,0,3,1,1,5,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,1.67
Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.MyClassWithGenericSuperMethod.someMethod(java.util.List<? super java.util.Map>),0,4,0,3,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0.33
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.NoSuperClone.clone(),0,4,0,4,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Protected Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.OneTopLevelClassTest.getPackageLocation(),0,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.OneTopLevelClassTest.testBad(),0,19,3,16,14,12,0,5,1,0,7,8,7,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.OneTopLevelClassTest.testBad1(),0,14,3,11,9,7,0,5,1,0,7,8,7,1,1,1,1,1,0,0,0,0,0.00
Public Method,com.google.checkstyle.test.chapter3filestructure.rule341onetoplevel.OneTopLevelClassTest.testBad2(),0,15,3,12,10,8,0,5,1,0,7,8,7,1,1,1,1,1,0,0,0,0,0.00
